"event_id","r_event_id","trigger_id","source","host_group","host_group_id","export_month","exported_at_local","severity","severity_id","status","acknowledged","host","host_id","site_code","problem_raw","problem_signature","opdata","started_at_local","started_at_utc","recovered_at_local","recovered_at_utc","duration_seconds","duration_text","action_count","domain","component","scope","tags_text","tags_json","evidence_label"
"1455771147","1455771408","1107089","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMMBD-NETNAM-FMS-143.92.88.13","15935","MBD","Unavailable by ICMP ping","unavailable by icmp ping","","2026-04-16T00:49:06+07:00","2026-04-15T17:49:06Z","2026-04-16T00:49:21+07:00","2026-04-15T17:49:21Z","15","15s","0","UNKNOWN","UNKNOWN","UNKNOWN","Application: Status","{""Application"":[""Status""]}","SOURCE FACT"
"1455769144","1455772003","1350548","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMCPL-VSSPM03","17246","CPL","ITCenter HTTP Monitoring","itcenter http monitoring","","2026-04-16T00:48:48+07:00","2026-04-15T17:48:48Z","2026-04-16T00:49:39+07:00","2026-04-15T17:49:39Z","51","51s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1455742983","1455745710","1107089","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMMBD-NETNAM-FMS-143.92.88.13","15935","MBD","Unavailable by ICMP ping","unavailable by icmp ping","","2026-04-16T00:44:36+07:00","2026-04-15T17:44:36Z","2026-04-16T00:45:21+07:00","2026-04-15T17:45:21Z","45","45s","0","UNKNOWN","UNKNOWN","UNKNOWN","Application: Status","{""Application"":[""Status""]}","SOURCE FACT"
"1455679370","1455684491","1401321","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMCPL-VSSPM03","17246","CPL","Git HTTP Monitoring","git http monitoring","","2026-04-16T00:32:23+07:00","2026-04-15T17:32:23Z","2026-04-16T00:33:13+07:00","2026-04-15T17:33:13Z","50","50s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1455678359","1455689192","1401487","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMCPL-VSSPM04","17247","CPL","Git HTTP Monitoring","git http monitoring","","2026-04-16T00:32:08+07:00","2026-04-15T17:32:08Z","2026-04-16T00:33:59+07:00","2026-04-15T17:33:59Z","111","1m 51s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1455660808","1455662438","1401487","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMCPL-VSSPM04","17247","CPL","Git HTTP Monitoring","git http monitoring","","2026-04-16T00:29:08+07:00","2026-04-15T17:29:08Z","2026-04-16T00:29:59+07:00","2026-04-15T17:29:59Z","51","51s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1455543026","1455547383","1401393","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-VSEMS01","15350","SNT","Git HTTP Monitoring","git http monitoring","","2026-04-16T00:08:34+07:00","2026-04-15T17:08:34Z","2026-04-16T00:09:24+07:00","2026-04-15T17:09:24Z","50","50s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1455445549","1455450816","1401485","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMCPL-VSSPM01","17244","CPL","Git HTTP Monitoring","git http monitoring","","2026-04-15T23:53:06+07:00","2026-04-15T16:53:06Z","2026-04-15T23:53:57+07:00","2026-04-15T16:53:57Z","51","51s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1455317538","1455608803","1263659","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-UPSF2201","17360","SNT","APC UPS: Unacceptable input frequency (out of range 49.7-50.3Hz for 15m)","apc ups: unacceptable input frequency (out of range <value> for <value>)","Current frequency: 50.2 Hz","2026-04-15T23:30:37+07:00","2026-04-15T16:30:37Z","2026-04-16T00:20:36+07:00","2026-04-15T17:20:36Z","2999","49m 59s","0","power","power","notice","scope: notice, component: power, class: power, target: apc","{""scope"":[""notice""],""component"":[""power""],""class"":[""power""],""target"":[""apc""]}","SOURCE FACT"
"1455269704","1455278795","1401394","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMSNT-VSSPM01","15351","SNT","Git HTTP Monitoring","git http monitoring","","2026-04-15T23:22:35+07:00","2026-04-15T16:22:35Z","2026-04-15T23:24:25+07:00","2026-04-15T16:24:25Z","110","1m 50s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
"1455181144","1455184882","1401487","zabbix_api","All VNM","224","2026-04","2026-06-03T17:53:48+07:00","High","4","RESOLVED","false","VNMCPL-VSSPM04","17247","CPL","Git HTTP Monitoring","git http monitoring","","2026-04-15T23:07:08+07:00","2026-04-15T16:07:08Z","2026-04-15T23:07:59+07:00","2026-04-15T16:07:59Z","51","51s","0","UNKNOWN","UNKNOWN","UNKNOWN","web: http(s)","{""web"":[""http(s)""]}","SOURCE FACT"
